A Haunted House 2	鬼屋电影2
Fright Night	吸血鬼就在隔壁
The Guard	看守员
I, Frankenstein	科学怪人：屠魔大战
Shorts	神通魔法石
Tomorrowland	明日世界
Hurricane, The	捍卫正义
Hunt for the Wilderpeople	神鬼嚎野人
Paranormal Activity 4	鬼入镜4
Power Rangers	金刚战士
Life as We Know It	命中注定多个你
Rogue One	星际大战外传：侠盗一号
Let's Be Cops	冒牌条子
Girl, Interrupted	女生向前走
Never Let Me Go	别让我走
Anna and The King	安娜与国王
MASH (1970)	外科医生
Bonnie and Clyde	我俩没有明天
The Jungle Book	与森林共舞
The Quiet Ones	灵异档案
Diary of a Wimpy Kid	逊咖冒险王
Sherlock Holmes 2	福尔摩斯2：诡影游戏
Max Steel	钢铁麦斯
2 Guns	2枪毙命
Dumb and Dumber To	阿呆与阿瓜：贱招拆招
Three Billboards Outside Ebbing Missouri 	三块广告牌
Raze	摧毁
The Muppets	布偶历险记
Coraline.2009.BluRay.720p.x264.YIFY	第十四道门
Think Like a Man Too	男人行不行2
Silent Hill 2- Revelation	沉默之丘2：启示录
Captain America- The First Avenger (2011)	美国队长
Elysium	极乐世界
The Secret Life of Walter Mitty	白日梦冒险王
The Wolfman	狼嚎再起
Starship Troopers	星舰战将
Allegiant	分歧者3：赤诚者
Halloween II	血染万圣节
Paranormal Activity	灵动：鬼影实录
Paddington	柏灵顿：熊爱趴趴走
Coriolanus	王者逆袭
Drive	落日车神
Scott Pilgrim vs. the World	歪小子史考特
Double Indemnity	双重赔偿
eXistenZ	X接触
Captain Fantastic	神奇大队长
As Above, So Below	忐忑
Rio 2	里约大冒险2
Men In Black 2  	MIB星际战警2
The Water Horse	尼斯湖水怪
Wuthering Heights	咆哮山庄
Snowpiercer	末日列车
Wolf Creek 2	狼溪
Jumanji	野蛮游戏
Twelve Monkeys	未来总动员
Willow Creek	柳溪镇
﻿All About My Mother	我的母亲
Dredd	超时空战警3D
Ender's Game	战争游戏
Room No.7	7号室
Life of Pi	少年PI的奇幻漂流
Jules and Jim	祖与占
Furious 7	玩命关头7
Galaxy Quest	惊爆银河系
Predestination	超时空拦截
Jurassic World	侏罗纪世界
The Darkness	黑暗来临
Hardcore Henry	超狂亨利
Deliverance	激流四勇士
The Fluffy Movie	蓬松哥脱口秀
Jennifer's Body	辣的要命
Ping Pong Summer	乒乓夏天
Riot in Cell Block 11	牢狱大暴动
End of the Affair, The	爱情的尽头
Dirty Girl	下流女孩
Melancholian 3 huonetta	三个忧郁的房间
It's a Wonderful Life	风云人物
Mom and Dad	爸妈杀戮日
Chronicle	超能失控
The Longest Week	穷到只剩爱
Hugo	雨果
Hidden	躲藏
Final Destination 5	绝命终结站5
Cats and Dogs- The Revenge of Kitty Galore (2010)	猫狗大战：珍珠猫大反扑
Miss Peregrine's Home for Peculiar Children	怪奇孤儿院
The Amazing Spider-Man 2	蜘蛛人惊奇再起2：电光之战
American Sniper	美国狙击手
Star Trek Beyond	星际争霸战：浩瀚无垠
Sicario	怒火边界
Winnie the Pooh	小熊维尼电影版
The Theory of Everything	爱的万物论
The Dark Knight	黑暗骑士
The Extra Man	多余的人
Chappie	成人世界
Priceless	巴黎拜金女
Amityville- The Awakening	阴宅
La piel que habito	切肤慾谋
Mr. Popper's Penguins	波普先生的企鹅
The Grand Seduction	诱惑医生100招
Dragon	追龙
The Invasion	恐怖拜访
Immortal	战神世纪
Transcendence	全面进化
The Maze Runner	移动迷宫
District 13- Ultimatum	暴力特区2：极限杀阵
Shark Night 3D	大白鲨3D
Boys Don't Cry	男孩别哭
Valerian and the City of a Thousand Planets	星际特工瓦雷诺：千星之城
Super 8	超级8
SX_TAPE	A片有鬼
Edge of Tomorrow	明日边界
The Collection	蒐尸魔
Kaboom	入侵潜意识：迷幻异域
Automata	奥图玛塔
Behaving Badly	追爱敢死队
E.T. the Extra-Terrestrial	E.T.外星人
Equals	禁爱世界
Begin Again	曼哈顿恋习曲
Evolution	进化特区
Bandslam	摇滚未来
Marmaduke	酷狗马马杜
North Face	电影：北峰
Texas Chainsaw	德州电锯杀人狂
Chef	五星主厨快餐车
Donnie Darko	憷目惊魂28天
Looper	回路杀手
For Your Eyes Only	最高机密
St. Trinian's	乌龙女校
V for Vendetta	V怪客
Signs	灵异象限
Vanilla Sky	香草天空
A Million Ways to Die in the West	百万种硬的方式
Old Dogs	欧吉桑卡好
The Autopsy of Jane Doe	验尸官
Sleepy Hollow	断头谷
Where the Wild Things Are	野兽冒险乐园
Captain Phillips	怒海劫
Paradox	杀破狼-贪狼
Gravity	地心引力
I'll Follow You Down	时空效应
Somewhere	迷失某地
Forgotten	记忆之夜
Grown Ups	亚当等大人
The Hitman's Bodyguard	王牌保镖
The Hurt Locker	危机倒数
Horrible Bosses	老板不是人
Cedar Rapids	大假一场
The Towering Inferno	火烧摩天楼
Maggie	我的殭尸女儿
Neighbors	恶邻缠身
Eraserhead	橡皮头
Ghost in the Shell	攻壳机动队
Mad Max- Fury Road	疯狂麦斯：愤怒道
Jack Reacher	神隐任务
Spy	麻辣贱谍
Machine Gun McCain	铤而走险
Wrath of the Titans	怒战天神
X-Men- First Class	X战警：第一战
Stretch	急速猎杀
Couples Retreat	伴侣度假村
Machete	绝煞刀锋
Young Adult	半熟男女
Moms' Night Out	母?外出之夜
Cyrus	重量级拖油瓶
Death at a Funeral	超完美告别
Sleepless in Seattle	西雅图夜未眠
Walking with Monsters	与巨兽共舞
The Darkest Hour	黑暗时刻
Logan Lucky	罗根好好运
Taking Woodstock	胡士托风波
Hanna	少女杀手的奇幻旅程
What's Your Number	先生你哪位
I Am Legend	我是传奇
The Notebook	手札情缘
John Carter	异星战场：强卡特战记
The Mummy	神鬼传奇
21 Jump Street	龙虎少年队
Rango	飙风雷哥
Our Idiot Brother	我的白痴老哥
I Sell the Dead	盗墓者的忏
The Martian	绝地救援
Deadpool	死侍
Robot Overlords	钢铁叛军
The Grandmaster	一代宗师
Man of Steel	超人：钢铁英雄
Warcraft	魔兽：崛起
Lights Out	鬼关灯
The Amazing Spider-Man	蜘蛛人：惊奇再起
Avengers 2- Age of Ultron	复仇者联盟2
Swiss Army Man	尸控奇幻旅程
Gattaca	千钧一发
All About My Mother	我的母亲
The Book of Eli	夺天书
The Vatican Tapes	梵蒂冈录像带
How Do You Know	爱在心里怎知道
The Space Between Us	爱上火星男孩
Ghosts of the Abyss	深渊幽灵
The Sound of Music	真善美
You Again	冤家囍相逢
Sanctum	3D惊天洞地
That Thing You Do!	挡不住的奇蹟
Deliver Us From Evil	恶魔刑事录
Bad Teacher	霸凌女教师
Sorority Row	女生杀人宿舍
The Thing	极地诡变
District 9	第九禁区
Blade Trinity	刀锋战士 3
Attack the Block	异星大作战
Harold & Kumar Escape from Guantanamo Bay	猪头汉堡饱2
Taipei wan 9 zao 5	台北晚9朝5
Magnolia (1999)	心灵交叉剔
Blair Witch	厄夜丛林
The Hunger Games	饥饿游戏
Stargate	星际奇兵
Gone with the Wind	乱世佳人
Pandorum	颤慄异次元
The Wolverine	金钢狼：武士之战
The Final Destination 4	绝命终结站4
Harry Potter and the Deathly Hallows Part 1	哈利波特-死神的圣物1
Unfriended	弒讯
Saw VI	夺魂锯6
Perfect Sense	末日情缘
Captain America 2- The Winter Soldier (2014)	美国队长2
Million Dollar Baby	登峰造击
Real Steel	钢铁擂台
Shakespeare in Love	莎翁情史
Alien- Covenant	异形：圣约
John Wick	捍卫任务
The Dark Knight Rises	黑暗骑士：黎明昇起
ALEXANDER	亚历山大帝
Fury	怒火特攻队
Gulliver's Travels	格列佛游记
Rubber	超能轮胎杀人事件
Red Cliff	赤壁
A Walk in the Woods	别跟山过不去
Lone Survivor	红翼行动
Lockout	天外封锁线
Logan	罗根
The Other Side of the Door	鬼门开
Sex Tape	爱爱上云端
Knight and Day	骑士出任务
Friend Request	非死不可
Micmacs	异想奇谋
The Chronicles of Riddick	超世纪战警
Atomic Blonde	极冻之城
Possession Of Michael King	鬼寄身
Life After Beth	殭尸哪有这么正
Incarnate	卡内阴
Wyrmwood	末日尸杀
Blood Father	吾父吾血
The Day the Earth Stood Still	当地球停止转动
Life of Crime	百万娇妻绑架计画
The Man From U.N.C.L.E.	绅士密令
City Island	我的怪咖家庭
The Grey	极地战狼
War of The Worlds 	世界大战
No One Lives	无人生还
Fast and Furious 6	玩命关头6
The Matrix	骇客任务
The Accountant	会计师
The Heat	麻辣娇锋
The Devil Inside	心魔
Kong- Skull Island	金刚：骷髅岛
The Time Machine	时光机器
The Change-Up	玩咖尬宅爸
A Clockwork Orange	发条橘子
Alice Through the Looking Glass	魔境梦游：时光怪客
The Disappointments Room	鬼开门
Sense and Sensibility	理性与感性
Carriers	绝命带原者
Minority Report	关键报告
I Am Number Four	猎杀第四行者
Prometheus	普罗米修斯
Spider-Man- Homecoming	蜘蛛人：返校日
Iron Man 3	钢铁人3
The Lazarus Effect	永夜魔女
Black Sea	黑海浩劫
La belle et la bete	美女与野兽
Men in Black 3	MIB星际战警3
War Horse	战马
Camille redouble	再一次初恋
The Other Woman	妇仇者联盟
Assassin's Creed	刺客教条
Blade Runner	银翼杀手
Cop Out	波丽士很忙
Jupiter Ascending	朱比特崛起
Don't Breathe	别唿吸
Oblivion	遗落战境
Oz the Great and Powerful	奥兹大帝
Iron Man Three	钢铁人3
Tucker & Dale vs Evil	屠魔特攻二人组
Kill Zone 2	杀破狼2
Inherent Vice	性本恶
It Happened One Night	一夜风流
Sherlock Holmes	福尔摩斯
Nocturnal Animals	夜行动物
World War Z	末日之战
The House of the Devil	鬼屋禁地
Kingsman- The Secret Service	金牌特务
30 Minutes or Less	决战30分
Terminator Salvation	魔鬼终结者：未来救赎
The Taking of Deborah Logan	失魂记忆
The Voices	血色孤语
Tumbleweeds	蒲公英
Fading Gigolo	色衰应召男
Snow White and the Huntsman	公主与狩猎者
Diary of a Wimpy Kid 2- Rodrick Rules (2011)	逊咖冒险王2
Total Recall	拦截记忆码
Hercules	战神: 海格力斯
All Cheerleaders Die	去死吧！啦啦队
Afflicted	突变实录
Zookeeper	全民情兽
Night of the Living Dead	恶夜殭尸
Fight Club	斗阵俱乐部
Trust Me	相信我
X2	X战警2
Life	异星智慧
The Raid 2	全面突袭2：拳力进击
Top Five	业内前五
Project Almanac	跨界失控
Transporter 2	玩命快递2
Paranormal Activity- The Marked Ones (2014)	鬼入镜：诅咒
Aftershock	劫后余生
Carrie	魔女嘉莉
The Man From U.N.C.L.E	绅士密令
Doctor Strange	奇异博士
What Happened to Monday	猎杀星期一
Mayhem	重伤
St. Vincent	欧吉桑邻好
Last Knights	第七军团：最后战役
Get Him to the Greek	大明星小跟班
Ant-Man	蚁人
Lucky	罗根好好运
Rogue One- A Star Wars Story	星际大战外传：侠盗一号
RoboCop	机器战警
13 Hours- The Secret Soldiers of Benghazi (2016)	13小时：班加西的秘密士兵
Mission- Impossible 4 - Ghost Protocol (2011)	不可能的任务：鬼影行动
Kingdom of Heaven 	王者天下
Pete's Dragon	寻龙传说
A.I. Artificial Intelligence	人工智能
Grace	魔婴
Raiders of the Lost Ark	夺宝奇兵
Cell	科技浩劫
Tale of Tales	流言蜚语
13 Assassins	十三刺客
Due Date	临门凑一脚
A Madea Christmas	黑疯婆娘的圣诞节
Alice in Wonderland	魔境梦游
The Truman Show	楚门的世界
Serenity	冲出宁静号
Cloverfield	科洛弗档案
Housebound	嚎宅禁地
Contagion	全境扩散
Northmen - A Viking Saga	诺曼人- 维京传奇
The Virginity Hit	怎样失去童贞
Cowboys & Aliens	星际飙客
Source Code	启动原始码
Armageddon	世界末日
Doctor Zhivago	齐瓦哥医生
Avatar	阿凡达
The Great Wall	长城
Birdman or (The Unexpected Virtue of Ignorance)	鸟人
The Book of Life	曼罗奇遇记
Horrible Bosses 2	老板不是人2
Let the Bullets Fly	让子弹飞
Le dernier loup	狼图腾
Happy Feet	快乐大脚
Bad Milo!	疯狂的米罗
The Preparation	准备
Hot Tub Time Machine	扭转时光机
The Avengers	复仇者联盟
The Forest	自杀森林
The King and I	国王与我
Dinner for Schmucks	猪头晚餐
Piranha 3DD	食人鱼3DD全面猎杀
Scouts Guide to the Zombie Apocalypse (2015)	殭尸教战守则
Earth to Echo	地球回声
The Expendables 2	敢死队2
Delirium	爱是一种病
Casablanca	北非谍影
Free Fire	玩命鎗火
Ex Machina	人造意识
Monsters University	怪兽大学
Cat Run 2	性感女特工2
The Hunchback of Notre Dame	钟楼怪人
Interstellar	星际效应
The Exorcist	驱魔人
Spring	爱在初春惊变时
The Bounty Hunter	赏金恋人：Ex档案
Der Hobbit - Smaugs Einode	哈比人：荒谷恶龙
Captain America- Civil War	美国队长3：英雄内战
Music of the Heart	心灵真爱
Down Terrace	罪?之家
Super	犀利人夫
Thor- Ragnarok	雷神索尔3：诸神黄昏
Ouija	碟仙：恶灵始源
The Chase	一定要抓住
Star Trek 2- Into Darkness	闇黑无界：星际争霸战
The Bay	恐怖海湾
